N	Unused	Total	%Cov	%Cov(50)	%Cov(95)	Accession	Name	Species	Peptides(95%)			Biological Processes	Molecular Function	PANTHER ID
1	24.44	24.44	57.7899992465973	47.8799998760223	40.7900005578995	sp|P22626|ROA2_HUMAN	Heterogeneous nuclear ribonucleoproteins A2/B1 OS=Homo sapiens GN=HNRNPA2B1 PE=1 SV=2	HUMAN	13					
2	21.36	21.36	42.1299993991852	30.6699991226196	30.6699991226196	sp|P63261|ACTG_HUMAN	Actin, cytoplasmic 2 OS=Homo sapiens GN=ACTG1 PE=1 SV=1	HUMAN	14					
3	20.32	20.32	28.5899996757507	17.0399993658066	15.6299993395805	sp|P19338|NUCL_HUMAN	Nucleolin OS=Homo sapiens GN=NCL PE=1 SV=3	HUMAN	10					
4	18.6	18.6	44.7100013494492	28.2900005578995	20.5200001597404	sp|P61978|HNRPK_HUMAN	Heterogeneous nuclear ribonucleoprotein K OS=Homo sapiens GN=HNRNPK PE=1 SV=1	HUMAN	8					
5	17.68	17.68	44.3699985742569	31.2099993228912	25.4799991846085	sp|Q15233|NONO_HUMAN	Non-POU domain-containing octamer-binding protein OS=Homo sapiens GN=NONO PE=1 SV=4	HUMAN	9					
6	16.52	16.52	36.710000038147	25.900000333786	20.720000565052	sp|P07437|TBB5_HUMAN	Tubulin beta chain OS=Homo sapiens GN=TUBB PE=1 SV=2	HUMAN	8					
7	16.3	16.3	28.7299990653992	22.9100003838539	17.0900002121925	sp|Q00839|HNRPU_HUMAN	Heterogeneous nuclear ribonucleoprotein U OS=Homo sapiens GN=HNRNPU PE=1 SV=6	HUMAN	11					
8	15.86	15.86	45.4899996519089	35.1900011301041	25.5400002002716	sp|P08670|VIME_HUMAN	Vimentin OS=Homo sapiens GN=VIM PE=1 SV=4	HUMAN	8					
9	15.16	15.16	35.6200009584427	20.8199992775917	13.5600000619888	sp|P52272|HNRPM_HUMAN	Heterogeneous nuclear ribonucleoprotein M OS=Homo sapiens GN=HNRNPM PE=1 SV=3	HUMAN	7					
10	14.39	14.39	25.2799987792969	16.329999268055	15.0999993085861	sp|Q12906|ILF3_HUMAN	Interleukin enhancer-binding factor 3 OS=Homo sapiens GN=ILF3 PE=1 SV=3	HUMAN	8					
